interac_r,mcs
4.0,2.1861057075452175
4.3,2.9570758160392114
4.6,4.2191124984181885
4.9,6.244673886211671
5.2,9.778673059421545
5.5,16.417289880747145
5.8,29.931338608638313
6.1,45.37885217943125
6.2,49.56056317929936
6.3,50.1126013724267
6.4,49.015472278833755
6.5,52.26336783096162
6.7,34.993061578490895
7.0,18.066195048004044
7.3,9.282596209075244
7.6,4.823721436343852
7.9,3.3270440251572326
8.2,2.925311203319502
8.5,2.6503496503496504
8.8,2.5526315789473686
9.1,3.1153846153846154
9.4,3.8333333333333335
9.7,1.1666666666666667
10.0,1.3333333333333333
