binCenters,prob,dprob,poisson
1.0,0.0029764325097994,0.0001553489094468,0.010024456732519013
2.0,0.0156059398532927,0.0003534572821131,0.03242854605919745
3.0,0.0432639916724948,0.0005801854456281,0.06993633188467291
4.0,0.0914968365239171,0.000822192930652,0.11312002337125819
5.0,0.1515947497682286,0.0010227070057736,0.14637473076071778
6.0,0.1984288339866304,0.0011373153753941,0.15783796984490128
7.0,0.2001203584730738,0.0011409469053872,0.14588480985141908
8.0,0.153221215620578,0.001027192673352,0.11798226083058791
9.0,0.0885691979896882,0.0008102344108788,0.08481464175513358
10.0,0.0383927264447082,0.000547937247895,0.05487410619926008
11.0,0.0129222711969162,0.0003220717100674,0.0322753827839939
12.0,0.0028625799001349,0.0001523574843005,0.017401503893866823
13.0,0.0004310134508725,5.919149039202225e-05,0.008660442012030213
14.0,9.75879511409658e-05,2.816984031133984e-05,0.004002290885380017
15.0,1.62646585234943e-05,1.1500756806564372e-05,0.0017262910470791882
