interac_r,mcs
4.0,5.897486714231187
4.3,7.703891935268156
4.6,10.076081048435801
4.9,13.481510925186974
5.2,18.254975956179738
5.5,26.23012041135666
5.8,36.191996865803546
6.1,51.52522448636258
6.2,56.37212235887733
6.3,62.803544997492324
6.4,68.75251889168766
6.5,73.32975381008207
6.7,77.36084612194111
7.0,75.0038309772823
7.3,49.76485129972283
7.6,39.08135502800747
7.9,27.17866526537047
8.2,13.088613203367302
8.5,10.717032967032967
8.8,5.306569343065694
9.1,4.548654244306419
9.4,3.073394495412844
9.7,3.323404255319149
10.0,2.4705882352941178
