interac_r,mcs
4.0,2.2300588941620445
4.3,3.0447149797338087
4.6,4.349842641876115
4.9,6.570629782224838
5.2,10.623001262559443
5.5,18.828179406069975
5.8,35.68720188599938
6.1,59.77484312313548
6.2,67.56035608121923
6.3,69.87799757106689
6.4,67.1801110665827
6.5,61.76044113548593
6.7,35.391754244139044
7.0,11.853836784409257
7.3,6.503746877601999
7.6,4.016393442622951
7.9,3.7004341534008685
8.2,2.9411764705882355
8.5,2.376146788990826
8.8,2.589041095890411
9.1,2.2
9.4,2.282051282051282
9.7,1.1176470588235294
10.0,1.1538461538461537
