interac_r,mcs
4.0,6.015552079593825
4.3,7.90814512497064
4.6,10.381358315042426
4.9,13.924794960786182
5.2,19.374511004253325
5.5,27.782388080246637
5.8,40.17481512696773
6.1,59.52789320208733
6.2,67.66269231376138
6.3,76.25525306670117
6.4,85.10737161883189
6.5,91.08279989524435
6.7,96.22734449196373
7.0,93.42669260084361
7.3,65.03366200412749
7.6,37.41886087768441
7.9,15.982607972039611
8.2,12.98474145238768
8.5,7.571496212121212
8.8,7.449848024316109
9.1,3.76747311827957
9.4,4.027079303675048
9.7,4.220289855072464
10.0,3.1379310344827585
