coms,counts,probs
1,2024,0.4910237748665696
2,687,0.16666666666666666
3,325,0.07884522076661815
4,220,0.053372149442018436
5,162,0.039301310043668124
6,93,0.022561863173216887
7,71,0.01722464822901504
8,64,0.015526443474041727
9,36,0.008733624454148471
10,38,0.009218825812712276
11,33,0.008005822416302766
12,34,0.008248423095584668
13,27,0.006550218340611353
14,23,0.005579815623483746
15,18,0.004366812227074236
16,15,0.00363901018922853
17,16,0.0038816108685104317
18,9,0.002183406113537118
19,10,0.0024260067928190197
20,9,0.002183406113537118
21,14,0.003396409509946628
22,15,0.00363901018922853
23,7,0.001698204754973314
24,4,0.0009704027171276079
25,5,0.0012130033964095099
26,8,0.0019408054342552159
27,7,0.001698204754973314
28,5,0.0012130033964095099
29,4,0.0009704027171276079
30,5,0.0012130033964095099
31,3,0.000727802037845706
32,2,0.00048520135856380397
33,5,0.0012130033964095099
34,3,0.000727802037845706
35,7,0.001698204754973314
36,3,0.000727802037845706
37,4,0.0009704027171276079
38,3,0.000727802037845706
39,2,0.00048520135856380397
40,4,0.0009704027171276079
41,2,0.00048520135856380397
42,1,0.00024260067928190198
43,4,0.0009704027171276079
44,2,0.00048520135856380397
45,1,0.00024260067928190198
46,2,0.00048520135856380397
48,2,0.00048520135856380397
49,1,0.00024260067928190198
50,1,0.00024260067928190198
51,3,0.000727802037845706
53,1,0.00024260067928190198
55,3,0.000727802037845706
56,2,0.00048520135856380397
57,1,0.00024260067928190198
58,2,0.00048520135856380397
59,1,0.00024260067928190198
60,3,0.000727802037845706
61,1,0.00024260067928190198
62,2,0.00048520135856380397
63,2,0.00048520135856380397
64,1,0.00024260067928190198
65,1,0.00024260067928190198
66,1,0.00024260067928190198
68,1,0.00024260067928190198
69,2,0.00048520135856380397
70,1,0.00024260067928190198
71,2,0.00048520135856380397
73,1,0.00024260067928190198
74,2,0.00048520135856380397
75,1,0.00024260067928190198
76,1,0.00024260067928190198
79,1,0.00024260067928190198
81,1,0.00024260067928190198
82,1,0.00024260067928190198
83,1,0.00024260067928190198
84,2,0.00048520135856380397
86,1,0.00024260067928190198
91,2,0.00048520135856380397
92,2,0.00048520135856380397
93,1,0.00024260067928190198
94,2,0.00048520135856380397
96,1,0.00024260067928190198
99,1,0.00024260067928190198
100,2,0.00048520135856380397
103,1,0.00024260067928190198
106,1,0.00024260067928190198
111,1,0.00024260067928190198
121,1,0.00024260067928190198
122,2,0.00048520135856380397
125,2,0.00048520135856380397
129,1,0.00024260067928190198
135,1,0.00024260067928190198
139,3,0.000727802037845706
141,2,0.00048520135856380397
148,1,0.00024260067928190198
152,1,0.00024260067928190198
157,1,0.00024260067928190198
166,2,0.00048520135856380397
168,1,0.00024260067928190198
169,1,0.00024260067928190198
175,1,0.00024260067928190198
180,1,0.00024260067928190198
182,1,0.00024260067928190198
183,1,0.00024260067928190198
185,1,0.00024260067928190198
209,1,0.00024260067928190198
226,1,0.00024260067928190198
