binCenters,prob,dprob
1.0,0.004701327433628319,0.00019508922918270085
2.0,0.021782274856845394,0.0004163089152938026
3.0,0.05925461998958875,0.0006733540650344442
4.0,0.11827336022904737,0.0009209939547730337
5.0,0.18250585632483082,0.0011016079414694277
6.0,0.2154964862051015,0.0011726377571914528
7.0,0.18764640812077044,0.0011134968965794
8.0,0.12377179854242581,0.0009392166758415253
9.0,0.05933595783446122,0.000673786927530525
10.0,0.02062727745965643,0.000405360370012345
11.0,0.0053764315460697555,0.0002085560361156091
12.0,0.0011224622592399792,9.549669199288093e-05
13.0,8.947162935970848e-05,2.697550441765762e-05
14.0,1.626756897449245e-05,1.1502814772725618e-05
