0.11519793270774814 0.8842746553294338 0.000527411962817983 hybr (0.9,0.1)
0.10368442708363024 0.0004570452064652951 0.8958585277099045 hybr (0.1,0.9)
0.391014815095887 0.3048866362154096 0.3040985486887034 hybr (0.05,0.5)
