N,arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
10,20,7,0.3,0.3,7,8,0.75,0.274763809,0.3193011747,0.4059350162,0.1517500195,0.195303957,0.2044738721,-0.2326673332,0.5551885895
10,20,7,0.3,0.3,7,8,0.8,0.2834451387,0.3102604349,0.4062944264,0.1570200759,0.207129118,0.2196272098,-0.2142264434,0.5939802645
10,20,7,0.3,0.3,7,8,0.85,0.3291127218,0.2934256436,0.3774616346,0.1619709199,0.206795493,0.2155084317,-0.2093896526,0.586045007
10,20,7,0.3,0.3,7,8,0.9,0.373796051,0.2609532617,0.3652506873,0.1774879035,0.2030847365,0.2212458948,-0.156655836,0.5755916846
10,20,7,0.3,0.3,7,8,0.95,0.4452516871,0.2238435391,0.3309047738,0.1945042799,0.2118734786,0.2303250828,-0.1167823044,0.5939926995
10,20,7,0.3,0.3,7,10,0.0,0.1632266933,0.3460169958,0.4907563109,0.1169449307,0.1504134324,0.1578974349,-0.2012776806,0.4280044044
10,20,7,0.3,0.3,7,10,0.05,0.1646923269,0.3394686328,0.4958390402,0.1178814343,0.153225057,0.16176724,-0.1830982254,0.4377000837
10,20,7,0.3,0.3,7,10,0.1,0.1658070482,0.3407343164,0.4934586353,0.1187555222,0.1568445109,0.1652808834,-0.1880099975,0.4487190287
10,20,7,0.3,0.3,7,10,0.15,0.1668332917,0.331980005,0.5011867033,0.1189174466,0.1589660531,0.1688530827,-0.1627733067,0.4570258294
10,20,7,0.3,0.3,7,10,0.2,0.1653516621,0.3274191452,0.5072291927,0.1195981464,0.1611108728,0.1714959853,-0.1476090977,0.4640748493
10,20,7,0.3,0.3,7,10,0.25,0.1708787803,0.3270882279,0.5020329918,0.121187132,0.1631462237,0.1743215962,-0.1521434641,0.4706288947
10,20,7,0.3,0.3,7,10,0.3,0.1709342664,0.3222564359,0.5068092977,0.1214877858,0.1656603947,0.1777453896,-0.1377035741,0.4795017254
10,20,7,0.3,0.3,7,10,0.35,0.1768642839,0.3160144964,0.5071212197,0.1240645269,0.1666831604,0.1794066021,-0.1249077731,0.482157473
10,20,7,0.3,0.3,7,10,0.4,0.1834311422,0.3127498125,0.5038190452,0.1262300314,0.1678977493,0.1804911826,-0.1216805799,0.4847691045
10,20,7,0.3,0.3,7,10,0.45,0.1847483129,0.3050802299,0.5101714571,0.126981679,0.1716032427,0.1854373717,-0.0999890027,0.4975926047
10,20,7,0.3,0.3,7,10,0.5,0.1863619095,0.2938300425,0.519808048,0.1279336322,0.174312581,0.190249821,-0.067852037,0.5080946861
10,20,7,0.3,0.3,7,10,0.55,0.1983739065,0.2917705574,0.5098555361,0.1311224881,0.1742518821,0.1898779364,-0.0736855786,0.5059219197
10,20,7,0.3,0.3,7,10,0.6,0.2030997251,0.289412147,0.507488128,0.133729086,0.1800500343,0.1973564707,-0.071336166,0.524966553
10,20,7,0.3,0.3,7,10,0.65,0.219892027,0.2745283679,0.5055796051,0.1380309574,0.1789542612,0.1983943551,-0.0434771307,0.5216547092
10,20,7,0.3,0.3,7,10,0.7,0.226451887,0.2648052987,0.5087428143,0.1420303826,0.1805151708,0.2032707907,-0.0208677831,0.5283239018
10,20,7,0.3,0.3,7,10,0.75,0.2418270432,0.2573546613,0.5008182954,0.1455785451,0.1837796961,0.2077144528,-0.0138910272,0.5382374162
10,20,7,0.3,0.3,7,10,0.8,0.2658500375,0.2362114471,0.4979385154,0.149569869,0.1820306828,0.2102015772,0.0255156211,0.5353716789
10,20,7,0.3,0.3,7,10,0.85,0.2869837541,0.2251882029,0.487828043,0.1573530902,0.190030571,0.2188038794,0.0374516371,0.5574720894
10,20,7,0.3,0.3,7,10,0.9,0.3294816296,0.1947833042,0.4757350662,0.1739883566,0.1869000973,0.2289961921,0.0861684579,0.5535013547
10,20,7,0.3,0.3,7,10,0.95,0.3995731067,0.167256186,0.4331707073,0.192090065,0.1795505918,0.2354647918,0.0986583354,0.5347563075
20,20,7,0.3,0.3,7,8,0.0,0.1818785304,0.3816053487,0.436516121,0.0863916336,0.1087442338,0.1114016359,-0.3266945764,0.3053781181
20,20,7,0.3,0.3,7,8,0.05,0.1800212447,0.3811372157,0.4388415396,0.0863699722,0.1112750461,0.1137543851,-0.3234328918,0.3133583435
20,20,7,0.3,0.3,7,8,0.1,0.1783899025,0.3784251437,0.4431849538,0.0864286958,0.1149027678,0.117774311,-0.3136653337,0.3254049821
20,20,7,0.3,0.3,7,8,0.15,0.1770952262,0.3795616096,0.4433431642,0.0867926088,0.1173578909,0.1201836696,-0.315780055,0.3330220363
20,20,7,0.3,0.3,7,8,0.2,0.1759050237,0.3769632592,0.4471317171,0.0870433389,0.1213546215,0.1243029891,-0.3067948013,0.3457777878
20,20,7,0.3,0.3,7,8,0.25,0.1763811547,0.3771592102,0.4464596351,0.08768082,0.1236419066,0.1269167964,-0.3078587853,0.35308879
20,20,7,0.3,0.3,7,8,0.3,0.1741902024,0.3729162709,0.4528935266,0.087506491,0.1265730345,0.1302777603,-0.2929390152,0.3629414704
20,20,7,0.3,0.3,7,8,0.35,0.1743686578,0.3720014996,0.4536298425,0.087988903,0.1293458751,0.1331328373,-0.2903731567,0.3715791914
20,20,7,0.3,0.3,7,8,0.4,0.1754411397,0.3653271682,0.4592316921,0.0885646694,0.1336016723,0.1379803244,-0.2714226443,0.3853890883
20,20,7,0.3,0.3,7,8,0.45,0.1748922769,0.3655808548,0.4595268683,0.0890309666,0.1375033163,0.1418750206,-0.2716348413,0.3974613318
20,20,7,0.3,0.3,7,8,0.5,0.175624094,0.3625888528,0.4617870532,0.0896298404,0.1413571212,0.1462001608,-0.2633906523,0.4098139318
20,20,7,0.3,0.3,7,8,0.55,0.1776708323,0.3575856036,0.4647435641,0.0906893874,0.1464849984,0.1519784067,-0.2504276431,0.426134142
20,20,7,0.3,0.3,7,8,0.6,0.1767633092,0.356555861,0.4666808298,0.0908298337,0.1510241135,0.1557598795,-0.2464308923,0.4394689978
20,20,7,0.3,0.3,7,8,0.65,0.17931992,0.351379905,0.469300175,0.0920372053,0.1552311461,0.1613445137,-0.2334596351,0.4535798874
20,20,7,0.3,0.3,7,8,0.7,0.183420145,0.3442004499,0.4723794051,0.0936107576,0.1610681411,0.1672441908,-0.2160214946,0.4712150111
20,20,7,0.3,0.3,7,8,0.75,0.1887498125,0.3341357161,0.4771144714,0.0952834293,0.1657089594,0.1728666782,-0.1911569608,0.486053039
20,20,7,0.3,0.3,7,8,0.8,0.1964196451,0.3181592102,0.4854211447,0.0977647731,0.1710126803,0.1802234272,-0.1508972757,0.5037832573
20,20,7,0.3,0.3,7,8,0.85,0.2020992252,0.3046903274,0.4932104474,0.0998784798,0.180487538,0.1885054227,-0.1161702074,0.5311364891
20,20,7,0.3,0.3,7,8,0.9,0.222252187,0.2905711072,0.4871767058,0.1023940074,0.1948764148,0.2048130487,-0.0939655086,0.5768335909
20,20,7,0.3,0.3,7,8,0.95,0.250215946,0.2639552612,0.4858287928,0.1112713262,0.1988862126,0.2095763193,-0.0420817296,0.5868035772
20,20,7,0.3,0.3,7,10,0.0,0.1635716071,0.3452256936,0.4912026993,0.0825818412,0.1061711224,0.1116344373,-0.1992486878,0.302293012
20,20,7,0.3,0.3,7,10,0.05,0.1621784554,0.3384003999,0.4994211447,0.0828494547,0.1080488177,0.1140906906,-0.1773796551,0.3088191619
20,20,7,0.3,0.3,7,10,0.1,0.1600969758,0.3353169208,0.5045861035,0.0828868689,0.1119789309,0.1182724727,-0.1660477381,0.3216525348
20,20,7,0.3,0.3,7,10,0.15,0.1585341165,0.3300487378,0.5114171457,0.0830702292,0.1130735987,0.1205009796,-0.1486803299,0.3263034853
20,20,7,0.3,0.3,7,10,0.2,0.1567345664,0.3267905524,0.5164748813,0.0829017708,0.1170516941,0.1249684206,-0.1371062234,0.3395769513
20,20,7,0.3,0.3,7,10,0.25,0.1556988253,0.3218965259,0.5224046488,0.0831485078,0.1197680516,0.1277800328,-0.1213884029,0.3481697557
20,20,7,0.3,0.3,7,10,0.3,0.1560134966,0.3191384654,0.524848038,0.083493928,0.1219306086,0.1303094893,-0.1134288928,0.3552487253
20,20,7,0.3,0.3,7,10,0.35,0.1542731817,0.3114373907,0.5342894276,0.0835845456,0.124562783,0.1341347948,-0.0885853537,0.3648273544
20,20,7,0.3,0.3,7,10,0.4,0.1538812797,0.3069062734,0.5392124469,0.0840291865,0.1271702536,0.1372838315,-0.0746001,0.3734332379
20,20,7,0.3,0.3,7,10,0.45,0.1536588353,0.3002424394,0.5460987253,0.0841773462,0.13066703,0.140841328,-0.0543861535,0.3844221953
20,20,7,0.3,0.3,7,10,0.5,0.1531554611,0.2940037491,0.5528407898,0.0846090326,0.1333264021,0.1444516747,-0.0351667083,0.3936204507
20,20,7,0.3,0.3,7,10,0.55,0.1547058235,0.2842061985,0.561087978,0.085004519,0.1347038221,0.1462459966,-0.0073244189,0.3982246304
