lambs,N,f1,f2,Dc,Q
0.3,10,0.323380155,0.496251937,0.021849623220180404,-0.15050837300000003
0.3,15,0.320062651,0.5114404732,0.03277443483027061,-0.12868482879999998
0.3,20,0.3218066733,0.5183571607,0.04369924644036081,-0.12525618589999998
0.3,25,0.317603999,0.5274020495,0.05462405805045101,-0.10780594850000003
0.3,30,0.3155662751,0.5338345414,0.06554886966054121,-0.09729800880000006
0.3,35,0.3151620666,0.5359607241,0.07647368127063142,-0.09436340910000007
0.3,40,0.3148216696,0.5371896401,0.08739849288072161,-0.09245369910000001
0.3,50,0.3134723319,0.5393833542,0.10924811610090202,-0.08756130959999997
0.3,60,0.3131329335,0.5399465267,0.13109773932108243,-0.08631934029999999
0.3,70,0.3128327265,0.5407042193,0.15294736254126284,-0.08496123369999997
0.3,80,0.3135943278,0.5401234383,0.17479698576144323,-0.08706521730000005
0.6,10,0.2854791302,0.4830379905,0.021849623220180404,-0.08792026989999996
0.6,15,0.2864963759,0.520535866,0.03277443483027061,-0.052456885799999964
0.6,20,0.2826985754,0.5515263684,0.04369924644036081,-0.013870782399999948
0.6,25,0.2729254686,0.5760132967,0.05462405805045101,0.030162359500000013
0.6,30,0.2702206115,0.5867049071,0.06554886966054121,0.046263684100000035
0.6,35,0.2636555861,0.5981174706,0.07647368127063142,0.07080629839999997
0.6,40,0.2604556986,0.605255811,0.08739849288072161,0.08434441380000002
0.6,50,0.2522827793,0.616619895,0.10924811610090202,0.11205433640000007
0.6,60,0.2490331501,0.6209743462,0.13109773932108243,0.12290804600000005
0.6,70,0.2468691369,0.6232359535,0.15294736254126284,0.12949767970000003
0.6,80,0.2434441529,0.6271091954,0.17479698576144323,0.1402208896
0.9,10,0.1952516871,0.398499875,0.021849623220180404,0.007996500800000028
0.9,15,0.2041331334,0.5052181955,0.03277443483027061,0.09695192870000002
0.9,20,0.1927981755,0.5809421395,0.04369924644036081,0.19534578849999995
0.9,25,0.1696822794,0.6536088978,0.05462405805045101,0.314244339
0.9,30,0.1507279847,0.7007324002,0.06554886966054121,0.3992764308
0.9,35,0.1345311529,0.7338324705,0.07647368127063142,0.4647701647
0.9,40,0.1222714946,0.7544268308,0.08739849288072161,0.5098838416
0.9,50,0.1016461385,0.7850976756,0.10924811610090202,0.5818053986
0.9,60,0.0966983175,0.7920011661,0.13109773932108243,0.5986045311
0.9,70,0.0888174484,0.8009145427,0.15294736254126284,0.6232796459
0.9,80,0.0856826587,0.8048455772,0.17479698576144323,0.6334802598
