arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
20,2,0.3,0.3,7,8,0.6,0.3569671868,0.2996179527,0.3434148606,0.0810707017,0.0777517886,0.0802654821,-0.2558210447,0.2060455515
20,2,0.3,0.3,7,8,0.65,0.3876523726,0.2846035634,0.327744064,0.0823280858,0.0766342748,0.0793512234,-0.2414630628,0.2014221809
20,2,0.3,0.3,7,8,0.7,0.4255416146,0.2677342093,0.3067241761,0.0835254595,0.0750467845,0.0780911725,-0.2287442425,0.1952787958
20,2,0.3,0.3,7,8,0.75,0.4701683151,0.2475226908,0.2823089942,0.0839941971,0.0728720688,0.0763245075,-0.2127363873,0.1876919591
20,2,0.3,0.3,7,8,0.8,0.5261124719,0.2205588603,0.2533286678,0.0846831672,0.0704125768,0.0735656686,-0.1877890527,0.1778786974
20,2,0.3,0.3,7,8,0.85,0.5968347913,0.1874431392,0.2157220695,0.0822274771,0.0657066328,0.0691819771,-0.159164209,0.1635233665
20,2,0.3,0.3,7,8,0.9,0.6899686507,0.1446968258,0.1653345235,0.0781742734,0.0593999071,0.0627938819,-0.1240591281,0.1441418556
20,2,0.3,0.3,7,8,0.95,0.8162487949,0.0858459671,0.097905238,0.0656254159,0.0477006989,0.0502534183,-0.0737866962,0.1123163737
20,2,0.3,0.3,7,10,0.0,0.1640005713,0.3437727711,0.4922266576,0.0624514444,0.0800686663,0.0841521693,-0.1953188846,0.2278384184
20,2,0.3,0.3,7,10,0.05,0.1712234798,0.3408540722,0.487922448,0.0637179697,0.0800127443,0.0842091117,-0.1937856964,0.2270810421
20,2,0.3,0.3,7,10,0.1,0.1786441961,0.3372613989,0.484094405,0.0648172785,0.0800586005,0.0847299006,-0.1904283929,0.2271369325
20,2,0.3,0.3,7,10,0.15,0.1875196915,0.3352191952,0.4772611133,0.0661607078,0.0792640572,0.0839360872,-0.1931772771,0.2237812911
20,2,0.3,0.3,7,10,0.2,0.1965312957,0.3313030314,0.4721656729,0.0671053582,0.0795523268,0.0843429742,-0.1904403899,0.2242908601
