pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.1,0.4,0.2021723069,0.1928652837,0.6049624094,0.042662529,0.0605636121,0.0708918572,0.219231842,0.182878348,0.407548138,0.1060231072,0.4430147323,0.1335910026,0.6221172721,0.2953604456,0.1577343747,0.1814248113
0.1,0.45,0.1882965759,0.1764754811,0.635227943,0.0414669536,0.0611562886,0.0715934765,0.2822769808,0.1854141606,0.4528828543,0.1072542683,0.5001041103,0.1350899754,0.6734265269,0.3454543793,0.1533581756,0.1956088524
0.1,0.5,0.1756611847,0.1571745064,0.6671643089,0.0401399448,0.0593128998,0.0701536561,0.3528152962,0.1806939306,0.500776156,0.1051242855,0.56039114,0.1324115069,0.7201572621,0.4077774128,0.1484628097,0.2027325315
0.1,0.55,0.1644001,0.1400725319,0.6955273682,0.0387622581,0.0582564227,0.0689438884,0.4153823044,0.1778134378,0.5433230692,0.1032802546,0.6139556265,0.1300660403,0.7618078494,0.4689102082,0.1433672559,0.2048353084
0.1,0.6,0.1544427393,0.1234067483,0.7221505124,0.0376223706,0.0572871775,0.0681493768,0.4753370157,0.1754794899,0.5832395651,0.1021578346,0.6642079515,0.1286339812,0.7986364436,0.5295730353,0.1391512339,0.2072595464
0.1,0.65,0.1452474881,0.1039104724,0.7508420395,0.0366085501,0.0531687705,0.0641433995,0.5430210947,0.1631694338,0.6262724319,0.0961650889,0.7183755984,0.1210949853,0.8326462768,0.6015750848,0.1354014865,0.1980116887
0.1,0.7,0.1367975506,0.0863488628,0.7768535866,0.0355244529,0.0484281328,0.0597567477,0.604155861,0.149198986,0.6652803799,0.0896351215,0.7674857929,0.1128274256,0.8638994703,0.6676248295,0.1313918123,0.1843319504
0.1,0.75,0.1294142964,0.0706842289,0.7999014746,0.0346335169,0.0456599223,0.0571422653,0.6585330167,0.1410876518,0.6998522119,0.0857133979,0.8110027843,0.1078909904,0.8912073968,0.7277536473,0.1280965695,0.1744865327
0.1,0.8,0.1226075981,0.0543572607,0.8230351412,0.0335664945,0.0399163213,0.0520780048,0.7143206198,0.1242691147,0.7345527118,0.0781170072,0.8546817352,0.0983291,0.9163828563,0.7904539365,0.1241500482,0.1533577554
0.1,0.85,0.116351862,0.039628143,0.844019995,0.0326324691,0.0349808272,0.0478356722,0.7647637091,0.109895169,0.7660299925,0.0717535083,0.8943034871,0.0903191014,0.9395205103,0.8472454672,0.1206954338,0.1343163901
0.1,0.9,0.1109605599,0.0261097226,0.8629297176,0.0319081582,0.0287434847,0.0430304335,0.8107102724,0.0920636788,0.7943945764,0.0645456502,0.9300071591,0.081246273,0.959460943,0.8992911272,0.1180164756,0.1108672632
0.1,0.95,0.1056107473,0.0120550362,0.8823342164,0.0309826107,0.0190362464,0.0363649759,0.858224144,0.064974319,0.8235013247,0.0545474638,0.9666450241,0.0686611432,0.9792479209,0.9535020031,0.1145932175,0.0734255217
0.15,0.05,0.2671557111,0.2933571107,0.4394871782,0.0449939539,0.0477337497,0.0520139413,-0.1472270432,0.133185974,0.1629104724,0.072387116,0.0915200035,0.0689352269,0.2086919588,0.1294552386,0.15547705,0.0967131812
0.15,0.1,0.2530097476,0.2902554361,0.4567348163,0.0445705791,0.049506111,0.0547608548,-0.123776056,0.1404575052,0.1877780055,0.0777005255,0.1086633474,0.0804783912,0.2369166933,0.1349846443,0.170192862,0.1007108621
0.15,0.15,0.2398140465,0.2847609098,0.4754250437,0.0440726765,0.0520557933,0.0577172567,-0.0940967758,0.1495589424,0.2150893277,0.0831244314,0.1344157353,0.0938910703,0.2775477216,0.1446508135,0.1868934035,0.1069489712
0.15,0.2,0.2270723319,0.2786932767,0.4942343914,0.043534375,0.054195362,0.0602784503,-0.063152162,0.1572666992,0.2426702074,0.0879299475,0.1645721623,0.1067906301,0.3271799337,0.1549487509,0.2018200889,0.1135783462
0.15,0.25,0.2149326668,0.268867983,0.5161993502,0.0427231483,0.0559526723,0.0628787167,-0.0215366158,0.1643011671,0.2753485379,0.0921514536,0.204549373,0.1182587577,0.3816623286,0.1700864879,0.2112512252,0.1230150422
0.15,0.3,0.2029992502,0.2589826543,0.5380180955,0.0419079131,0.0579361597,0.0652796807,0.0200527868,0.1714973917,0.3077581355,0.0962820446,0.2465221806,0.1281371272,0.440137578,0.1899728639,0.2169353328,0.133238183
0.15,0.35,0.1924595351,0.2468928768,0.5606475881,0.0412078894,0.0601232457,0.0678318784,0.0668618345,0.1791539531,0.341392027,0.100736314,0.2918003021,0.1367771998,0.494579731,0.2171748063,0.2191430713,0.1465213818
0.15,0.4,0.1818738815,0.2330849288,0.5850411897,0.0401975525,0.0612921011,0.0693102199,0.1188713322,0.1836310518,0.3778741565,0.1031348139,0.3417531413,0.1418323051,0.5509938911,0.2501895431,0.2171824983,0.1589681739
0.15,0.45,0.1725129718,0.2160970757,0.6113899525,0.03940008,0.0614106632,0.0695495741,0.179195801,0.184483914,0.4172768058,0.1037531894,0.3961940223,0.1438662258,0.6016584691,0.2939758679,0.2147330881,0.1710433362
0.15,0.5,0.1633954511,0.2000707823,0.6365337666,0.0384623087,0.0632282258,0.0717564908,0.2363922019,0.1909846453,0.4548923519,0.1073439512,0.4485227661,0.149313106,0.6513622602,0.3417621166,0.2108195178,0.1832884165
0.15,0.55,0.1549707573,0.1803610597,0.664668183,0.0375988428,0.0621914878,0.07109539,0.3039460635,0.1885285242,0.4970593352,0.1064434922,0.5072635396,0.1484194741,0.6975942139,0.3999113912,0.2064451649,0.1911675331
0.15,0.6,0.1471579105,0.1613647588,0.6914773307,0.0367088494,0.0602782929,0.0693400097,0.368747813,0.1831116249,0.5372344414,0.1039376088,0.5633103671,0.1450730238,0.7405232645,0.4590049773,0.2017675227,0.193281705
0.15,0.65,0.139768158,0.1398341915,0.7203976506,0.0357946493,0.0592743,0.068571363,0.4407292677,0.1806218079,0.5806061485,0.1028143827,0.6238649615,0.1435144014,0.7811475503,0.5301005725,0.1969039758,0.1926747551
0.15,0.7,0.1329949513,0.1204156961,0.7465893527,0.0348540862,0.0565120673,0.0658102715,0.5057579605,0.1724095222,0.6198842539,0.0987142738,0.6786991984,0.1378241829,0.8184116917,0.5942033872,0.191782172,0.1869091453
0.15,0.75,0.1266503874,0.1000972257,0.7732523869,0.0340646546,0.0530062037,0.0626951487,0.5730579355,0.1622627172,0.6598793302,0.0940387493,0.7345408722,0.1313057673,0.8533247037,0.6622439224,0.1874642815,0.1767274642
0.15,0.8,0.1208212447,0.0783897026,0.8007890527,0.0332722426,0.0481616383,0.0584738398,0.6440096476,0.1481915855,0.7011835791,0.0877107597,0.7922130603,0.1224673341,0.8854054742,0.7353061925,0.1831116823,0.1612988213
0.15,0.85,0.115139965,0.057724169,0.827135866,0.032501055,0.0415812343,0.0527492328,0.7116875281,0.1288751405,0.7407037991,0.0791238493,0.8473937017,0.1104777443,0.9166715104,0.8048561003,0.1788817755,0.1404766923
