pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2
0.1,0.6,0.1867522869,0.2405884404,0.5726592727,0.0129078472,0.0292912917,0.0311109633,0.0914823919,0.0878540249,0.358988909,0.046666445,0.4552419328,0.0560557898
0.1,0.65,0.1766276431,0.2190256811,0.6043466758,0.0126199257,0.0303754339,0.0323120988,0.1662953137,0.0913766494,0.4065200137,0.0484681482,0.5123363528,0.0582199979
0.1,0.7,0.1675220195,0.1987374656,0.6337405149,0.0122777641,0.0311065806,0.033011762,0.2362655836,0.0936672751,0.4506107723,0.049517643,0.565298225,0.0594806523
0.1,0.75,0.1590144964,0.169255811,0.6717296926,0.0119568128,0.03028376,0.0323432886,0.3332180705,0.09140553,0.5075945389,0.0485149329,0.6337471938,0.0582761957
0.1,0.8,0.1511832292,0.1369317296,0.7118850412,0.0116801889,0.0281749183,0.0303425687,0.4380215821,0.0851593619,0.5678275619,0.0455138531,0.7060991734,0.054671295
0.1,0.85,0.14383003,0.1044789428,0.7516910272,0.011331458,0.0259016311,0.0282333275,0.5427331417,0.0784851925,0.6275365409,0.0423499913,0.7778216707,0.0508708604
0.1,0.9,0.1371481755,0.0712541615,0.7915976631,0.0110738247,0.02146613,0.0240860092,0.6490893402,0.0652680377,0.6873964946,0.0361290138,0.8497255191,0.0433982147
0.1,0.95,0.1308715696,0.034896076,0.8342323544,0.0107736378,0.0155838477,0.0189410433,0.7644402024,0.0479717069,0.7513485316,0.0284115649,0.9265447827,0.0341280059
0.15,0.05,0.293893914,0.3265517246,0.3795543614,0.0146069766,0.0153365946,0.0160076769,-0.2735490877,0.0418721439,0.0697475944,0.023284024,0.0204116637,0.0316501597
0.15,0.1,0.2801810422,0.3295285679,0.3902903899,0.0145395608,0.0162246098,0.0169137923,-0.2687667458,0.0448871833,0.0857870407,0.0247062036,0.0416387923,0.0334417187
0.15,0.15,0.2673371907,0.3315112597,0.4011515496,0.0143730991,0.0171387143,0.0179120694,-0.2618709698,0.0480808475,0.1020100412,0.0263077386,0.0631133286,0.0354154984
0.15,0.2,0.2547311672,0.3321898525,0.4130789803,0.0142971582,0.0183400275,0.0191246581,-0.2513007248,0.0520248001,0.1197836353,0.0283393279,0.0866960812,0.0378130123
0.15,0.25,0.2428673707,0.3317876531,0.4253449763,0.0141362534,0.0189182946,0.0197015897,-0.2382303299,0.0539648202,0.1380936828,0.0293688772,0.1109482407,0.0389537135
0.15,0.3,0.2314708698,0.3309110972,0.437618033,0.013881698,0.0202029052,0.0210750282,-0.2242041615,0.058275309,0.1565122282,0.0313906202,0.1352143605,0.0416692573
0.15,0.35,0.2208523119,0.328154099,0.4509935891,0.0136789923,0.0211096407,0.0220948015,-0.2053146088,0.0613515499,0.1765110972,0.0330830699,0.161660327,0.0436855391
0.15,0.4,0.210852012,0.3242643964,0.4648835916,0.0134484796,0.0223142132,0.023439131,-0.1836452012,0.0653758367,0.1973517433,0.0350782431,0.1891234498,0.046343529
0.15,0.45,0.2012896651,0.3174912272,0.4812191077,0.0132071639,0.0231862866,0.0244484358,-0.1537633467,0.0683369811,0.2218292802,0.0366706258,0.2214218088,0.0483391126
0.15,0.5,0.1923774181,0.3080363534,0.4995862284,0.0129799456,0.025459825,0.0266114206,-0.1164864784,0.075344285,0.2493801675,0.0399143218,0.2577370285,0.0526157367
0.15,0.55,0.1840205199,0.2982394401,0.51774004,0.0127991445,0.0264869254,0.0279420765,-0.0787388403,0.078892243,0.27661006,0.0419131147,0.2936304962,0.0552466913
0.15,0.6,0.1760787178,0.2823617096,0.5415595726,0.0125256284,0.0281606508,0.0295686884,-0.0231638465,0.0840670732,0.3123393589,0.0443530327,0.3407261502,0.0584628061
0.15,0.65,0.1685346788,0.2661277056,0.5653376156,0.0122701037,0.0294183818,0.0309073534,0.0330822044,0.0880757046,0.3480064234,0.0463610301,0.3877397714,0.0611095962
0.15,0.7,0.1613192452,0.2414770057,0.5972037491,0.0120109696,0.0295130925,0.0310878302,0.1142497376,0.0885266545,0.3958056236,0.0466317453,0.4507450543,0.0614664325
0.15,0.75,0.1545554736,0.2163645839,0.6290799425,0.0117371608,0.0311107104,0.0327377695,0.1963507748,0.0935255077,0.4436199138,0.0491066543,0.5137702278,0.0647286699
0.15,0.8,0.1480657836,0.1809930142,0.6709412022,0.0115195832,0.0292354196,0.0310868269,0.3089551737,0.0881023802,0.5064118033,0.0466302404,0.5965377376,0.0614644487
0.15,0.85,0.1419414521,0.1424486253,0.7156099225,0.0112735525,0.0272613986,0.0292540771,0.4307126718,0.082294108,0.5734148838,0.0438811156,0.6848561201,0.0578407609
0.15,0.9,0.1360703949,0.1018006998,0.7621289053,0.0110211508,0.0255259721,0.0277510511,0.5585275056,0.0773103,0.6431933579,0.0416265766,0.7768328162,0.0548689984
0.15,0.95,0.1303911022,0.0517825544,0.8178263434,0.0108255832,0.0190094369,0.0218073186,0.7142612347,0.0579693288,0.7267395151,0.032710978,0.8869570286,0.043117132
0.2,0.05,0.2419756311,0.3509223569,0.407102012,0.0136392769,0.01552474,0.0159199307,-0.2947427018,0.042829641,0.1110226193,0.0232066962,0.0149516042,0.0335156435
0.2,0.1,0.2338443014,0.3522787178,0.4138769808,0.013538948,0.016295632,0.0167954076,-0.2906804549,0.0455295141,0.1211438703,0.0245742847,0.0292146963,0.0353587528
0.2,0.15,0.2260582854,0.3524949513,0.4214467633,0.0134305671,0.0169095869,0.0176531929,-0.2835431392,0.047851334,0.1324139653,0.0259819509,0.0451510807,0.0371646166
0.2,0.2,0.2183750187,0.3520469258,0.4295780555,0.0133947819,0.0179315762,0.0185633098,-0.2745157961,0.0510313393,0.1445789803,0.0273923412,0.0622695905,0.0390806521
0.2,0.25,0.21106982,0.3512041365,0.4377260435,0.0132211927,0.0183908272,0.0190033463,-0.2646822294,0.0525653573,0.1566902899,0.0282720096,0.0794232495,0.0400070449
0.2,0.3,0.2037932517,0.3485974881,0.4476092602,0.0131314141,0.0195685072,0.0203290255,-0.2495857161,0.0565022001,0.1715085166,0.0302602875,0.1002300214,0.0427979485
