pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m
0.05,0.75,0.0442126968257939,0.0348205448637844,0.9209667583104196,0.0065770053025911,0.0105368537905321,0.0126021285786896,0.8513256685828506,0.0336758361597539,0.8814501374656294
0.05,0.8,0.0421207198200451,0.0267868032991756,0.9310924768807785,0.0063908272611399,0.0082919108656297,0.0105509215658409,0.877518870282427,0.0271347432971004,0.8966387153211677
0.05,0.85,0.0395383654086481,0.0152209447638093,0.9452406898275436,0.0062495672032104,0.0065199057667422,0.0090107049626551,0.9147988002999252,0.0220505164961395,0.9178610347413156
0.05,0.9,0.0375998500374909,0.0126075981004749,0.949792551862037,0.006058720160026,0.0061390538566163,0.0085730364813974,0.924577355661087,0.0208511441946301,0.9246888277930556
0.05,0.95,0.0358097975506128,0.0135683579105225,0.9506218445388668,0.0059019542512632,0.0286553378714666,0.029729416622208,0.9234851287178216,0.0870400923651414,0.9259327668083
0.1,0.05,0.1464003999000242,0.3242764308922775,0.5293231692076961,0.0114339249534024,0.0153461743394987,0.0160305266773619,-0.119229692576859,0.0467228753563594,0.2939847538115441
0.1,0.1,0.1288837790552357,0.3127605598600359,0.5583556610847309,0.0108202005210242,0.018619563745869,0.0202009832327317,-0.0671654586353409,0.0574401107244698,0.3375334916270963
0.1,0.15,0.1155256185953516,0.2948210447388149,0.5896533366658347,0.0101347375902631,0.0186970443388319,0.0195761217938814,1.1247188204888126e-05,0.0569702104715453,0.3844800049987521
0.1,0.2,0.102775056235942,0.2755358660334903,0.6216890777305665,0.0099363669242377,0.0157377500236231,0.017320935401248,0.0706173456635859,0.0487964354484943,0.4325336165958497
0.1,0.25,0.0926605848537871,0.2589870032491871,0.6483524118970247,0.0095556929920262,0.0180795556096448,0.0191284415153535,0.1303784053986504,0.0552875527346432,0.4725286178455371
0.1,0.3,0.0848330417395655,0.2371744563859039,0.6779925018745282,0.0089843262390959,0.0171829437920473,0.0187228588565971,0.2036435891027202,0.0530887464406918,0.5169887528117922
0.1,0.35,0.0769245188702821,0.210927268182955,0.7121482129467644,0.0085443432266445,0.0195028577075337,0.0211641743857548,0.2902936765808543,0.0601698898008224,0.5682223194201468
0.1,0.4,0.0704801299675079,0.1900719820044979,0.7394478880279958,0.0084553336766271,0.0199441048256289,0.0214302203946543,0.3593039240189999,0.0613184300459122,0.6091718320419937
0.1,0.45,0.0653416645838541,0.1724811297175695,0.7621772056985737,0.0078890738447848,0.0175380217334629,0.0192167723692072,0.4172149462634346,0.0542928158361331,0.6432658085478606
0.1,0.5,0.0605408647838041,0.156271682079479,0.7831874531367152,0.0076942440923044,0.0176298020520623,0.0190491037200406,0.4706440889777571,0.0543087078241652,0.6747811797050729
0.1,0.55,0.0563316670832294,0.1276453386653337,0.8160229942514376,0.0073801232676113,0.0165134167842857,0.0178916173425494,0.5607323169207701,0.0509184509111208,0.7240344913771564
0.1,0.6,0.0527420644838792,0.1159252686828296,0.8313326668332924,0.0070395633839636,0.0158759303297174,0.0170076616591235,0.5994821294676331,0.0487595223185584,0.7469990002499387
