arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20.0,6.5,0.3,0.3,7,10,0.3,0.1469205397,0.3131329335,0.5399465267,0.0470723303,0.0722193134,0.0771784116,-0.0863193403,0.2114986725,,,,,,,,
20.0,6.5,0.3,0.3,7,10,0.6,0.1299925037,0.2490331501,0.6209743462,0.0459858775,0.0842164979,0.0914139743,0.122908046,0.2517829489,,,,,,,,
20.0,6.5,0.3,0.3,7,10,0.9,0.1113005164,0.0966983175,0.7920011661,0.0435147668,0.0755650534,0.0873203191,0.5986045311,0.2309716612,,,,,,,,
20.0,7.5,0.3,0.3,7,10,0.3,0.1464378072,0.31107998,0.5424822128,0.0471428155,0.0721515993,0.0773458383,-0.0796777472,0.2115120934,,,,,,,,
20.0,7.5,0.3,0.3,7,10,0.6,0.1295139548,0.2456005999,0.6248854453,0.0459017219,0.085509348,0.0933825569,0.1336842456,0.2565503093,,,,,,,,
20.0,7.5,0.3,0.3,7,10,0.9,0.1096591685,0.0886150962,0.8017257352,0.0430414057,0.0724270121,0.0845135552,0.6244955428,0.2218029088,,,,,,,,
20.0,8.0,0.3,0.3,7,10,0.3,0.1463050904,0.3119864201,0.5417084895,0.04709029,0.0727206773,0.0780139386,-0.0822643506,0.2134322246,,,,,,,,
20.0,8.0,0.3,0.3,7,10,0.6,0.1292583521,0.2427802216,0.6279614263,0.0457800573,0.0847884904,0.0924280408,0.1424009831,0.2541096801,,,,,,,,
20.0,8.0,0.3,0.3,7,10,0.9,0.1093930684,0.0852200283,0.8053869033,0.0430352624,0.0692451097,0.0816639955,0.6349468466,0.2123023036,,,,,,,,
